"Dato";"Valør";"Tekst";"";"Beløb";"Saldo";"Egen bilagsreference"
"02.01.2024";"02.01.2024";"Nets 0032 8822884                   -SE MEDD.";"";"1.217,42";"160.379,91";""
"02.01.2024";"02.01.2024";"Til EJENDOMS. CAROMAT";"";"-35.420,33";"124.959,58";""
"02.01.2024";"02.01.2024";"Henri Lee- inco";"";"-1.410,09";"123.549,49";""
"02.01.2024";"02.01.2024";"DK  3257668 108645108550 29.12";"";"4.931,00";"128.480,49";""
"02.01.2024";"02.01.2024";"DK  3257668 336320800000 29.12";"";"338,00";"128.818,49";""
"02.01.2024";"02.01.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-5.163,13";"123.655,36";""
"02.01.2024";"02.01.2024";"DK  3257668 108645108750 30.12";"";"2.963,00";"126.618,36";""
"02.01.2024";"02.01.2024";"DK  3257668 336420800000 30.12";"";"2.000,00";"128.618,36";""
"03.01.2024";"03.01.2024";"Overførsel                          -SE MEDD.";"";"10.325,25";"138.943,61";""
"03.01.2024";"03.01.2024";"Nets 0032 8822884                   -SE MEDD.";"";"1.727,82";"140.671,43";""
"03.01.2024";"03.01.2024";"Nets 0033 8822884                   -SE MEDD.";"";"6.830,84";"147.502,27";""
"03.01.2024";"03.01.2024";"PBS DK Abon 3257668 011223-311223";"";"-422,31";"147.079,96";""
"03.01.2024";"03.01.2024";"DK  3257668 108645109150 02.01";"";"3.000,50";"150.080,46";""
"03.01.2024";"03.01.2024";"Henri Lee-udlæg (Inco & gas)";"";"-3.500,00";"146.580,46";""
"04.01.2024";"04.01.2024";"Til DAKA DENMARK A/S";"";"-240,66";"146.339,80";""
"04.01.2024";"04.01.2024";"Mealo: 16086                        -SE MEDD.";"";"38.805,53";"185.145,33";""
"04.01.2024";"04.01.2024";"Nets 0034 8822884                   -SE MEDD.";"";"4.769,24";"189.914,57";""
"04.01.2024";"04.01.2024";"DK  3257668 108645109350 03.01";"";"633,00";"190.547,57";""
"05.01.2024";"05.01.2024";"Nets 0035 8822884                   -SE MEDD.";"";"3.471,53";"194.019,10";""
"05.01.2024";"05.01.2024";"DK  3257668 108645109550 04.01";"";"1.935,00";"195.954,10";""
"05.01.2024";"05.01.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-4.413,75";"191.540,35";""
"05.01.2024";"05.01.2024";"Hgl- silvan, hjem&fix, flügger";"";"-4.393,95";"187.146,40";""
"05.01.2024";"05.01.2024";"Henri Lee- udlæg";"";"-1.000,00";"186.146,40";""
"05.01.2024";"05.01.2024";"Til SJ.MEDIER ANN.";"";"-1.200,00";"184.946,40";""
"05.01.2024";"05.01.2024";"Til SJ.MEDIER ANN.";"";"-525,00";"184.421,40";""
"08.01.2024";"08.01.2024";"Mealo: 16238                        -SE MEDD.";"";"8.110,60";"192.532,00";""
"08.01.2024";"08.01.2024";"DK  3257668 108645109750 05.01";"";"3.479,00";"196.011,00";""
"08.01.2024";"08.01.2024";"DK  3257668 400520800000 05.01";"";"779,00";"196.790,00";""
"08.01.2024";"08.01.2024";"LS 46868 THAI FRESH IMPORT/EKSPORT";"";"-4.487,50";"192.302,50";""
"08.01.2024";"08.01.2024";"DK  3257668 108645109950 06.01";"";"1.751,00";"194.053,50";""
"08.01.2024";"08.01.2024";"DK  3257668 108645110150 07.01";"";"1.208,00";"195.261,50";""
"08.01.2024";"08.01.2024";"DK  3257668 400620800000 06.01";"";"2.758,00";"198.019,50";""
"09.01.2024";"09.01.2024";"Nets 0036 8822884                   -SE MEDD.";"";"3.260,02";"201.279,52";""
"09.01.2024";"09.01.2024";"Nets 0037 8822884                   -SE MEDD.";"";"3.705,88";"204.985,40";""
